name,distance,total_elevation_gain,average_speed,max_speed,elev_high,elev_low,pr_count,distance_miles,moving_time,elapsed_time,is_gym_run,workout_type,start_date_local,start_time_local
Saturday long run,16150.5,110.56430800000001,0.0017528881326320002,0.00299500914544,36.08924,4.593176,7,10.035455436396001,1:35:25,1:40:36,False,Long Run,2025-10-04,15:22:14
Happy Friday,9116.8,104.658796,0.0016230215535040001,0.0033678318606399998,41.666667999999994,4.92126,0,5.664916883225599,0:58:10,1:01:12,False,None,2025-10-03,17:13:26
Warm up/cool down to and from gym,3467.2,52.821524000000004,0.001605623160128,0.00417561441024,48.556432,13.12336,0,2.1544181969024,0:22:22,0:47:44,False,None,2025-10-02,18:08:42
Gym speed,4345.2,0.0,0.001956697883608,0.0,0.0,0.0,0,2.6999821034784,0:23:00,0:23:00,True,Workout,2025-10-02,16:35:37
No run club :(,8103.0,116.46982,0.0017124990051519998,0.0047224210592,78.412076,9.84252,0,5.034970768776,0:49:00,0:52:12,False,Workout,2025-10-01,18:06:35
Monday easy,9829.2,70.53806,0.001639177204496,0.00539350194656,41.338584,4.92126,0,6.107581720406401,1:02:06,1:05:27,False,None,2025-09-29,18:05:21
Easy Friday,9077.0,95.14436,0.00174605304952,0.00339268670832,41.338584,4.92126,7,5.640186309784,0:53:50,0:53:56,False,None,2025-09-26,12:59:49
Run club,11798.9,85.30184,0.0016516046283359999,0.005716614966399999,36.08924,4.92126,3,7.3314965572888,1:13:59,1:25:51,False,None,2025-09-24,18:05:26
New week I’m back,9776.8,69.88189200000001,0.001961047481952,0.00333054958912,41.338584,4.92126,25,6.0750218699456,0:51:38,0:53:04,False,Workout,2025-09-22,15:04:41
Chill pond run,9263.5,159.448824,0.0016429054316480002,0.0027340332448000004,91.86352,9.84252,0,5.756072037092,0:58:24,1:00:04,False,None,2025-09-17,12:02:06
Monday tempo,11268.3,199.47507199999998,0.0019430277173839998,0.0030571462646399998,136.482944,15.748031999999998,24,7.0017970028136,1:00:04,1:02:55,False,Workout,2025-09-15,17:41:34
Saturday long run,21333.7,117.454072,0.001728654656144,0.0049088324168,41.338584,4.92126,14,13.2561465987704,2:07:48,2:09:25,False,Long Run,2025-09-13,08:49:26
Easy post workout cooldown,2042.6,12.139108,0.001648497772376,0.004038912748,48.228348,14.107612,1,1.2692127967792,0:12:50,0:12:50,False,None,2025-09-10,15:49:07
Treadmill hill repeats,6437.4,0.0,0.0014813489217279999,0.0,0.0,0.0,0,4.0000149113807995,0:45:00,0:45:00,True,None,2025-09-10,13:05:48
Aerobic Monday,9657.9,72.834648,0.001887725681296,0.00448630000624,35.761156,4.92126,0,6.0011408352168,0:52:59,0:53:02,False,Workout,2025-09-08,18:52:39
Friday easy,11450.8,86.286092,0.0016373130909199999,0.003040369242456,41.0105,4.92126,0,7.1151972453536,1:12:25,1:14:01,False,None,2025-09-05,10:16:36
Running back from gym,2018.4,13.12336,0.001751645390248,0.0024979121918399998,48.228348,15.419948,0,1.2541756139328,0:11:56,0:13:13,False,Workout,2025-09-03,19:03:54
Gym speed miles,4828.0,0.0,0.002247499601464,0.0,0.0,0.0,0,2.999980114976,0:22:15,0:22:15,True,Workout,2025-09-03,16:57:55
Easy Monday,10343.2,67.913388,0.0017528881326320002,0.00418804183408,41.0105,4.92126,10,6.426966513094401,1:01:06,1:04:23,False,Workout,2025-09-01,17:48:02
2-mile repeats,11265.4,0.0,0.00185168615216,0.0,0.0,0.0,0,6.9999950263568,1:03:00,1:03:00,True,Workout,2025-08-28,20:22:22
Short run,6643.4,83.005252,0.001905124074672,0.00473484848304,41.994752000000005,5.577427999999999,6,4.1280173769327995,0:36:07,0:37:45,False,Workout,2025-08-26,17:19:02
Hill workout,9656.1,0.0,0.001666517536944,0.0,0.0,0.0,0,6.0000223670712005,1:00:00,1:00:00,True,Workout,2025-08-25,17:02:10
Saturday long run,17703.9,122.04724800000001,0.0017485385342880001,0.00570418754256,41.994752000000005,4.593176,32,11.000693446048802,1:44:52,1:48:40,False,Long Run,2025-08-23,10:12:23
Easy Friday,10598.0,63.320212000000005,0.001681430445552,0.003728227152,41.0105,4.92126,23,6.5852918928160005,1:05:16,1:06:51,False,Workout,2025-08-22,09:10:11
Rainy day treadmilling,11349.8,0.0,0.00180819016872,0.0,0.0,0.0,0,7.052438754961599,1:05:00,1:05:00,True,None,2025-08-20,11:28:47
Treadmill tempo,10146.5,0.0,0.001751024019056,0.0,0.0,0.0,0,6.304742799628,1:00:00,1:00:00,True,Workout,2025-08-18,15:00:18
Saturday morning long run,14744.3,102.034124,0.001644769545224,0.0037095860162399998,41.994752000000005,4.92126,14,9.1616832662056,1:32:50,1:33:42,False,Long Run,2025-08-16,08:10:44
Morning easy run,11267.8,65.6168,0.001662789309792,0.00349210609904,41.0105,4.92126,0,7.0014863172176,1:10:10,1:12:44,False,Workout,2025-08-15,09:36:35
Pre/post strength,3218.7,0.0,0.001666517536944,0.0,0.0,0.0,0,2.0000074556903997,0:20:00,0:20:00,True,None,2025-08-13,15:54:58
Easy run,11547.0,199.803156,0.001711256262768,0.0032932673176,136.482944,15.419948,0,7.174973154024,1:09:53,1:13:22,False,Workout,2025-08-12,16:39:48
Pre/post strength run,3218.7,0.0,0.0016876441574720001,0.0,0.0,0.0,0,2.0000074556903997,0:19:45,0:19:45,True,None,2025-08-11,11:30:00
Easy treadmill Friday,10460.8,0.0,0.0015478356392720001,0.0,0.0,0.0,0,6.500039765273599,1:10:00,1:10:00,True,Workout,2025-08-08,14:54:20
Warm up pre strength workout,1609.4,0.0,0.001666517536944,0.0,0.0,0.0,0,1.0000347964048,0:10:00,0:10:00,True,Workout,2025-08-06,12:30:00
More trail exploring,6702.5,78.083992,0.001797626858456,0.0032684124699199997,47.57218,11.154855999999999,0,4.16474041438,0:38:37,0:38:57,False,None,2025-08-05,19:53:14
First Boston run,6471.4,83.98950400000001,0.001666517536944,0.00570418754256,41.994752000000005,5.577427999999999,0,4.0211415319088,0:40:13,0:40:24,False,Workout,2025-08-04,08:41:56
Tummy hurty,1973.8,10.498688000000001,0.0015826324260240002,0.00313171080768,584.973772,573.8189160000001,0,1.2264624587696,0:12:55,0:13:01,False,Workout,2025-07-30,08:40:53
Treadmill,4828.0,0.0,0.001428532370408,0.0,0.0,0.0,0,2.999980114976,0:35:00,0:35:00,True,None,2025-07-28,21:49:00
Late night Omaha run,4828.0,0.0,0.001428532370408,0.0,0.0,0.0,0,2.999980114976,0:35:00,0:35:00,True,None,2025-07-27,23:08:00
Short speed,3226.1,83.66141999999999,0.0020412043657200003,0.0027464606686399998,4728.674692,4680.774428,2,2.0046056025112,0:16:22,0:16:22,False,Workout,2025-07-24,09:37:53
Provo temple 5k,4340.4,0.0,0.001122196372752,0.00200081523824,4793.30724,4547.24424,0,2.6969995217568,0:39:31,0:40:03,False,Race,2025-07-24,08:16:21
Evening longer run,11265.1,196.8504,0.001675838104824,0.0025227670395199997,4806.758683999999,4680.774428,6,6.9998086149992,1:09:37,1:09:38,False,Long Run,2025-07-19,19:25:44
Chill Friday,7571.7,168.96326,0.001536650957816,0.00319384792688,4806.758683999999,4680.774428,0,4.7048362544664,0:51:02,0:51:14,False,Workout,2025-07-18,18:33:35
Progression run,8049.7,139.4357,0.001723062315416,0.0077422850523200006,4685.03952,4589.89516,2,5.0018516842424,0:48:23,0:53:29,False,Workout,2025-07-17,16:40:28
Easy Monday,6438.1,130.905516,0.001613700985624,0.00479698560224,4815.616951999999,4684.055268,0,4.0004498712152,0:41:19,0:41:24,False,Workout,2025-07-14,16:56:29
Cooldown run,4828.0,0.0,0.001666517536944,0.0,0.0,0.0,0,2.999980114976,0:30:00,0:30:00,True,None,2025-07-12,14:50:58
Mile repeats,6047.1,134.186356,0.0016497405147599998,0.00292665831432,4685.03952,4638.779676,0,3.7574937351432003,0:37:58,0:44:00,False,Workout,2025-07-10,17:24:51
Easy run,8530.1,149.934388,0.001602516304168,0.012390141568480001,4685.695688,4581.69306,0,5.3003584048792005,0:55:07,0:56:08,False,Workout,2025-07-07,16:58:31
Slow not very long,7185.3,112.53281199999999,0.001527951761128,0.00932678159192,4684.055268,4589.89516,0,4.4647384258776,0:48:42,0:49:57,False,Long Run,2025-07-05,17:52:20
Still running,5268.6,76.115488,0.001775257495544,0.0028023840759199997,4685.695688,4607.283612,0,3.2737562621712004,0:30:44,0:32:20,False,None,2025-07-01,16:27:38
Working back up,6508.1,69.88189200000001,0.001718712717072,0.01371366220744,4683.727183999999,4589.89516,1,4.0439458546552,0:39:13,0:40:03,False,Workout,2025-06-30,16:34:03
First time back,4072.8,75.78740400000001,0.001608730016088,0.002485484768,4683.727183999999,4607.283612,0,2.5307205907776003,0:26:13,0:26:40,False,Workout,2025-06-23,16:32:47
Utah valley half,21411.1,58.727036,0.0018224817061359999,0.0097555277144,5237.86106,4551.181248,0,13.3042407290312,2:01:41,2:01:46,False,Long Run,2025-06-07,06:05:19
